,sentence,UMAP0,UMAP1
0,"A Hitchhiker’s Guide through the Bio-image Analysis Software Universe Robert Haase1,2, Elnaz Fazeli3, David Legland4,5, Michael Doube6, Siân Culley7,Ilya Belevich8, Eija Jokitalo8, Martin Schorb9,10, Anna Klemm11, Christian Tischer10 Affiliations: 1 DFG Cluster of Excellence “Physics of Life”, TU Dresden, Germany 2 Center for Systems Biology Dresden, Germany 3 Biomedicum Imaging Unit, Faculty of Medicine and HiLIFE, University of Helsinki, Finland 4 INRAE, UR BIA, F-44316 Nantes, France 5 INRAE, PROBE research infrastructure, BIBS facility, F-44316 Nantes, France 6 Department of Infectious Diseases and Public Health, City University of Hong Kong, Kowloon, Hong Kong 7 Randall Centre for Cell & Molecular Biophysics, Guy’s Campus, King’s College London, London SE1 1UL, UK 8 Institute of Biotechnology, Helsinki Institute of Life Science, University of Helsinki, Helsinki, Finland. 9 Electron Microscopy Core Facility, European Molecular Biology Laboratory, Heidelberg, Germany 10 Centre for Bioimage Analysis, European Molecular Biology Laboratory, Heidelberg, Germany 11 VI2 - Department of Information Technology and SciLifeLab BioImage Informatics Facility, Uppsala University, Uppsala, 752 37 Sweden Abstract:",-2.863276,8.680281
1,"Modern research in the life sciences is unthinkable without computational methods for extracting, quantifying and visualizing information derived from biological microscopy imaging data.",-3.7312953,7.87506
2,"In the past decade, we observed a dramatic increase in available software packages for these purposes.",-4.7486897,6.128065
3,"As it is increasingly difficult to keep track of the number of available image analysis platforms, tool collections, components and emerging technologies, we provide a conservative overview of software we use in daily routine and give insights into emerging new tools.",-4.183692,6.84753
4,"We give guidance on which aspects to consider when choosing the right platform, including aspects such as image data type, skills of the team, infrastructure and community at the institute and availability of time and budget.",-4.9128323,6.69118
5,Introduction Scientific bio-image analysis software plays a key role in modern life sciences (Levet et al. 2021).,-3.744875,7.941083
6,"New insights are virtually impossible without computational methods for image acquisition, processing, segmentation, feature extraction and visualization.",-3.7084248,7.6979804
7,"In the past decade, biologists have increasingly applied statistical data analysis of imaging data and machine learning for image processing and particularly for image segmentation, as these allow overcoming the limitations of purely descriptive methods.",-3.6353626,7.983928
8,We also perceive that tools and methods are converging:,-4.806174,6.5425954
9,"If a single software platform provides image processing, feature extraction, statistical analysis and visualization, it is superior and preferred to software that is only good in one of those tasks, at least from a user's perspective.",-4.4257746,6.405975
10,"The applications are highly diverse and spread across multiple sub-disciplines such as developmental biology, cancer research, immunology, cell and molecular biology, biophysics, agronomy, bioengineering and biomaterials.",-4.3364167,7.0873384
11,Often software solutions are created to address a particular analysis challenge in one of those sub-disciplines.,-4.22022,6.018863
12,"As it becomes increasingly hard to keep an overview of existing software, corresponding key applications and targeted scientific questions, we provide a detailed overview of current state-of-the-art software, upcoming next-generation tools and give hints for which aspects to consider when deciding between the many potential software solutions for current bio-image analysis questions.",-3.6344998,7.951101
13,An early career scientist searching for the right software for their image analysis might have the hardest decision to make.,-4.6559763,6.7391853
14,"Even if they know search engines specialized for bio-image analysis software such as https://biii.eu or https://bio.tools (BioImage Informatics Index (BIII) 2022; Elixir community 2022), it is hard to make any decision as beginners in the field often don't know the right terms to search for yet.",-4.6952753,7.093767
15,"Hence, the glossary provided below may be a good starting point to get an overview of available software and related use-cases.",-4.5126796,5.6758046
16,"Furthermore, we recommend attending institutional image-analysis courses, e.g. for PhD students in their first year.",-4.692051,7.0856295
17,"In addition, getting in touch with senior scientists in their own group, with collaborators and local light or electron microscopy facilities is a good opportunity to find out which software is used in similar projects on campus.",-5.1320453,6.9485908
18,Glossary Inspired by (Adams and Lloyd 1983) we give an overview of the bio-image analysis software universe by means of a glossary of software routinely used by bio-image analysts.,-3.792864,7.827038
19,"To further classify those software related terms, we refer to groups of software as introduced by (Miura and Sladoje 2019):",-4.3324466,5.53204
20,"Firstly, image/data analysis algorithms provided in a sustainably reusable fashion are referred to as ""components"".",-3.5582745,6.3224645
21,"Secondly, software libraries and standalone applications that combine multiple components are ""collections"".",-4.4356737,5.536645
22,"Thirdly, software that combines multiple components, potentially from multiple collections to solve a given variety of image analysis questions in a standardized form are referred to as ""workflow templates"".",-3.7519119,6.017384
23,"If the software is specific for solving particular scientific questions using given components in one specific assembly, these are called ""workflows"".",-3.9074292,5.7981744
24,"We extend this classification with ""frameworks"" of scientific software which are collections upon which many other software solutions are built.",-4.242948,5.7150073
25,"We add ""programming languages"" that allow assembling components into workflows.",-3.7818115,5.3110957
26,"We furthermore categorize the presented software in additional categories such as open-source, free of charge and major application categories such as acquisition, registration, segmentation and statistical analysis in Supplementary Table 1.",-3.9247863,5.8630095
27,The table also contains properties of the given software such as preferred dimensionality of input image data and typical imaging modality.,-3.8392453,6.130735
28,"The software listed in the following glossary were selected to reflect long-term available, reliable, sustainably maintained and supported software solutions.",-4.6052904,5.707244
29,"We analysts often have to have a conservative perspective on existing software as we need to rely on established, reliable and maintained software to build workflows for our collaborators and trust the given software to be still available in 5-10 years allowing reproducible image data analysis.",-4.894173,6.464761
30,"To this end, the number of citations served as a criterion to select software but we also considered software packages that have been available for about 5-10 years with continuous maintenance and reliable support by a vivid community.",-5.010469,6.1433153
31,A less formal criterion we applied for selecting software was considering which tools a starting bio- image analyst would have benefitted from being aware of in order to follow a conversation at one of the Network of European Bio-Image Analysts (NEUBIAS) meetings.,-4.8723936,6.883468
32,The given description of the glossary items highlights the main application of the software and its relationships with other glossary items.,-4.4450374,5.5464115
33,"While the glossary focuses on general software and terms used in the field, this should not hide the large number of software or plugins developed for a specific task or context.",-4.504858,5.5271945
34,"In the domain of plant science, the quantitative plant initiative (Lobet, Draye, and Périlleux 2013) proposes a curated list of software solutions that may also be useful to know.",-4.267473,6.483306
35,"Also for lightsheet microscopy, there is a specific list of software for acquisition and analysis available (Gibbs et al. 2021).There are a large number of software tools and applications that have been specifically developed for the cryo-electron microscopy (cryoEM); a comprehensive list of software for the cryoEM community can be found from wikibooks (“Software Tools For Molecular Microscopy” 2006). 3D ImageJ Suite (Ollion et al. 2013) is a collection of ImageJ plugins for filtering, segmentation and analysis of geometry, shape, and spatial organization of objects in 3D images. 3D Slicer (Fedorov et al. 2012) is an image processing software based on the ITK library focused on medical imaging with 3D surface extraction, rendering and analysis capabilities.",-2.1189258,9.416569
36,"It is increasingly used for visualizing and analyzing 3D structures such as cells, tissues and organs in microscopy data.",-3.526684,7.414205
37,"ANTs (Avants et al. 2011), or Advanced Normalization Tools, is a collection of methods for image registration, segmentation, and analysis, mostly developed in the context of neuro-imaging and the comparison of cohorts.",-2.763942,6.967348
38,"ANTs depends on ITK, an image processing library to which ANTs developers contribute.",-2.6622374,6.235521
39,"Arivis Vision 4D (arivis AG, Rostock, Germany) is an image analysis software for processing multi-channel 2D, 3D and 4D data, focused but not limited to microscopy data.",-2.699061,7.365316
40,"It is scalable, supports processing big image data, and has intuitive image stitching and alignment tools.",-3.143403,6.048951
41,"Amira-Avizo (Thermo Fisher Scientific Inc, Waltham, MA, United States) is a 2D-5D image processing, visualization and analysis software.",-2.7477002,7.302963
42,It can be customized using Python and MATLAB and offers additions for incorporating artificial intelligence.,-2.7935264,5.030883
43,BigDataViewer (Pietzsch et al. 2015) is an n-dimensional image viewer component for slicing volumes in arbitrary directions.,-3.0364814,6.0939956
44,The Fiji plugin can handle terabyte-sized image data composed of multiple channels and time points.,-3.2377014,5.931015
45,BigStitcher (Hörl et al. 2019) is an automated and interactive image registration / fusion Fiji plugin capable of handling terabyte sized image data.,-2.9825082,6.184403
46,It is based on the BigDataViewer.,-3.0613854,6.001352
47,"BioFormats (Linkert et al. 2010) is an image file format interoperability library which serves multiple image analysis software applications such as Fiji, Omero and QuPath to load image data from many formats and vendors.",-3.1145787,5.5447927
48,"Blender (Blender Foundation 2022) is a 3D surface rendering, modeling and visualization software with Python scripting,simulation, and video editing capabilities.",-3.5135589,7.066388
49,"The home of Blender is in design and arts, and it is increasingly used for microscopy image data visualization.",-3.5118446,7.297332
50,"BoneJ (Domander, Felder, and Doube 2021) is a collection of image processing operations and ImageJ plugins for skeletal / bone image analysis.",-1.7692941,7.0765266
51,"It is used often in the soil, food and materials science communities.",-4.5296826,6.9471154
52,Some of the tools were updated to work with ImageJ2.,-2.068364,6.557878
53,C/C++ are programming languages traditionally used in computing.,-3.8136375,5.1022763
54,Most operating systems are programmed in C and C++.,-4.0839972,5.1535645
55,"Furthermore, many Python and also some Java libraries contain components and collections of [image] processing routines written in these languages because C and C++ offer higher performance.",-2.4646637,5.666538
56,"CATMAID (Saalfeld et al. 2009) is a web application to navigate, share and collaboratively annotate massive volume image data sets.",-3.1947036,6.14745
57,"CCP-EM (Burnley, Palmer, and Winn 2017) the Collaborative Computational Project for electron cryo-microscopy is a community guiding the users of cryo-EM software tools as well as developers of software packages and file formats.",-2.2231271,9.629325
58,CCPi (“CCPi Tomographic Imaging” 2022) the Collaborative Computational Project in Tomographic Imaging provides a collection of software tools for tomographic imaging and reconstruction.,-2.1894271,9.588386
59,CellPose (Stringer et al. 2021) is a deep-learning based segmentation algorithm for biological structures such as cell and cell nuclei in microscopy images.,-2.59593,8.111936
60,It is accessible as a Python library.,-2.3583941,5.221003
61,Third parties maintain CellPose plugins for QuPath and Fiji.,-3.3229213,5.3876505
62,CellProfiler (McQuin et al. 2018) is an image analysis software application with graphical user interface (GUI) for user-friendly configuration of standardized image analysis workflows focusing on high-throughput microscopy imaging data of cells with capabilities for extracting tabular image feature data in high-performance-computing environments.,-2.3940368,8.5943165
63,CellProfiler Analyst (Jones et al. 2008) is a data exploration software for further visualization and analysis of tabular data produced with CellProfiler.,-2.3342915,8.542092
64,"It offers advanced plotting, dimensionality reduction and machine learning based object classification for dealing with big data as it is common in pharmaceutical research.",-3.609525,6.8023014
65,DeconvolutionLab2 (Sage et al. 2017) is a collection of image deconvolution algorithms accessible as standalone command-line interface and as user-friendly ImageJ plugin.,-1.6509497,6.982352
66,"Dragonfly (ORS, Montréal, Canada) is a powerful standalone software featuring an extensive set of tools for image processing, segmentation and 3D visualization.",-3.3816397,6.647175
67,"Drishti (Limaye 2012; Hu, Limaye, and Lu 2020) is a visualization tool for 3D pixel data, which has been extended with segmentation and measurement tools.",-3.2032506,7.474347
68,Elastix (Klein et al. 2010) is a standalone command-line tool for registration of 2D and 3D image data based on the ITK library.,-2.4456985,6.7143693
69,"A Python compatible interface, SimpleElastix, is available as well.",-2.9668562,4.905839
70,"EMAN2 (Tang et al. 2007) is a software application focusing on CryoEM, covering techniques such as single particle analysis, cryo-electron tomography or sub-tomogram averaging. fairSIM (Müller et al. 2016) is an ImageJ plugin for reconstructing structured illumination microscopy super-resolution images from raw data.",-2.0889018,9.558839
71,Fiji (Schindelin et al. 2012) is an image analysis software based on ImageJ and a collection of ImageJ- and ImageJ2 compatible plugins focusing on general-purpose image analysis in the life sciences.,-2.7802918,5.8214393
72,"It Is scriptable using multiple programming languages compatible with the Java ecosystem, extensible and capable of handling big image data through integration of components such as ImgLib2 and BigDataViewer.",-3.2189012,5.0248356
73,Groovy (“The Apache Groovy Programming Language” 2022) is a scripting language that can be used for automating image analysis routines in QuPath and Fiji.,-3.0096545,4.895945
74,"Gwyddion (Nečas and Klapetek, 2012) is a modular program for scanning probe microscopy (SPM) data visualization and analysis, primarily focused on the analysis of altitude maps such as obtained by atomic force microscopes.",-2.1694162,9.256917
75,"Huygens (Scientific Volume Imaging B.V., Hilversum, Netherlands) is an image processing software dedicated to deconvolution of 3D stacks from fluorescence microscopy, potentially multi- channel and time-lapse data.",-2.6697206,7.672383
76,Icy (de Chaumont et al. 2012) is an image analysis software focusing on general purpose image- analysis in the life sciences compatible with ImageJ.,-2.3154294,7.122628
77,Icy is scriptable using JavaScript and a visual programming approach using so called protocols.,-3.2123456,4.9736505
78,"Ilastik (Berg et al. 2019) is an image analysis software offering easy-to-use machine learning capabilities for image segmentation, object classification, object tracking and statistical analysis of microscopy image data.",-2.245838,6.829805
79,Ilastik classifiers can be used from Fiji and CellProfiler.,-2.2851667,6.5919666
80,"Furthermore, it supports execution on high-performance-computing clusters.",-3.4394782,6.2926984
81,"ImageJ (Schneider, Rasband, and Eliceiri 2012) is an image analysis software and framework for image analysis algorithms integrated in Fiji, Icy, MicroManager, QuPath and others.",-1.8892252,6.9076724
82,We conservatively estimate tens or hundreds of thousands of plugins and scripts have been developed in its 20+ year history making it one of the most important platforms for image analysis in the life sciences.,-4.322857,7.0441794
83,ImageJ2 (Rueden et al. 2017) is a modern rewrite of the ImageJ codebase with focus in scientific image processing and analysis of big image data.,-1.9384493,6.746131
84,It serves as an extensible platform underlying Fiji and other software platforms in the life sciences.,-3.2109523,5.193165
85,ImageJ Macro (“Macro Language” 2022) is a limited programming language specific to the ImageJ platform useful for automating image processing routines.,-2.0749018,6.8758397
86,Image.sc (Rueden et al. 2019) is an online discussion forum based on the Discourse platform (“Discourse - Civilized Discussion” 2022) that serves as questions & answers forum for many open source projects from the image science field.,-4.500067,8.033027
87,It plays a key role in knowledge exchange and community support for many open source bio-image analysis software projects.,-4.941119,7.3028293
88,See Figure 1 for a list of community partners.,-4.968687,7.4087205
89,"Imaris (Oxford Instruments, Oxon, United Kingdom) is an image processing and visualization software supporting 3D volume rendering and quantitative analysis.",-2.619386,7.4621725
90,"Through extra modules it is interoperable with Fiji, Python and MATLAB.",-3.1134593,5.0386953
91,ImgLib2 (Pietzsch et al. 2012) is an image processing framework and collection of algorithms.,-2.20112,6.971457
92,"It is the basis for software such as BigDataViewer, BigStitcher, ImageJ2, Fiji, Knime and others to handle terabyte-sized big image data.",-3.1732328,5.9894047
93,"IMOD (Kremer, Mastronarde, and McIntosh 1996) is an image processing, modeling and visualization software collection for electron microscopy.",-2.2349727,9.321292
94,"Aside from command line tools for image processing, it offers a GUI for reconstruction, registration and segmentation of data.",-2.9963908,6.5751996
95,ITK (Yoo et al. 2002) is an image registration and segmentation algorithm collection and library with a long history in medical imaging.,-2.3734965,6.7224183
96,"It is the underlying framework for tools such as 3D Slicer, Elastix, ANTs, and ITK Snap.",-2.6600373,6.156286
97,ITK Snap (Yushkevich et al. 2006) is a software application specifically for segmentation and surface rendering of 3D medical imaging datasets based on ITK.,-2.4783552,6.574361
98,"Java is the programming language Icy, ImageJ, Fiji, QuPath and compatible plugins are written in.",-3.1263945,4.846212
99,It is also interoperable with Imaris and MATLAB.,-3.0263574,5.259053
100,"JavaScript is a scripting language used for automation of image analysis routines in Icy, ImageJ and Fiji.",-2.9209926,5.1702514
101,It is also the most popular web programming language world wide (“Stack Overflow Developer Survey 2021” 2021).,-2.537018,5.044326
102,"Jupyter Notebooks (Kluyver et al. 2016) is an interactive, cloud compatible programming environment suitable for image data analysis, statistics and scientific plotting.",-2.109085,6.071168
103,It is a key component for reproducible data science in the scientific Python ecosystem and is extensively used for documentation and training.,-2.377169,5.325815
104,Jython is a Java-compatible scripting language based on the syntax of Python 2.,-3.066668,4.7944255
105,"It can be used for automation of image analysis routines in Fjij but is technically not compatible with numpy, scipy, scikit-image and other Python-based libraries.",-2.2851055,6.095843
106,It is compatible with Java-based components.,-3.2627044,4.729816
107,KNIME (Berthold et al. 2008) is a visual and interactive programming environment focusing on data science with image analysis and machine learning capabilities.,-2.3730993,6.143863
108,"Its image processing capabilities are based on ImageJ, ImageJ2, SciJava and Imglib2.",-2.2008123,6.358177
109,"Knossos (Helmstaedter, Briggman, and Denk 2011) is an image visualization and annotation software for large connectomics (electron microscopy) data extensible using Python modules.",-2.3332407,9.064677
110,"Leica Application Suite X (Leica microsystems GmbH, Wetzlar, Germany) is a software for microscope control, image acquisition, visualization and analysis.",-2.0249379,9.203364
111,"It offers modules for computational clearing and deconvolution (lightning), Fluorescence lifetime, FRET, and FCS analysis, CARS calculations, 2D and 3D measurements.",-3.7000093,6.5621514
112,"MATLAB (Mathworks, Natick, MA, United States) is a software environment for numeric computing that provides a multi-paradigm programming language and a number of dedicated applications and toolboxes, e.g. for image processing, computer vision, statistics and machine learning.",-2.535417,5.3323684
113,It can be extended using Java libraries.,-3.1257195,4.738961
114,Matplotlib (Hunter 2007) is a scientific plotting and image visualization collection commonly used for image data science by the Python community.,-2.081943,5.7279205
115,MicroManager (Edelstein et al. 2010) is a microscope control software with built-in image processing capabilities based on ImageJ.,-1.8053341,9.3011675
116,It can be scripted using the BeanShell language and recently using Python (Pinkard et al. 2021).,-3.0463538,4.7800083
117,"Microscopy Image Browser (Belevich et al. 2016) is a MATLAB-based software for advanced image processing, segmentation, quantification, and visualization of multi-dimensional light and electron microscopy datasets.",-2.1745226,9.029348
118,"It works with BioFormats, allows batch processing operations and can be directly linked to Fiji.",-3.2163613,5.393888
119,MorphographX (Barbier de Reuille et al. 2015) is a software for visualization and analysis of 4D datasets.,-2.676778,7.4861135
120,It focuses on the analysis of organ growth from 4D live-imaging confocal data of plants.,-3.5369248,7.4613886
121,"Various algorithms implemented in MorphographX extract surfaces from 3D data and post- process the intensities along those surfaces, which can be seen as an efficient 2.5 dimensional approximation of 3D quantification.",-2.6188908,7.3997097
122,"MorphoLibJ (Legland, Arganda-Carreras, and Andrey 2016) is a collection of methods and plugins for ImageJ implementing mathematical morphology operations such as dilation, opening, watershed and reconstruction as well as methods for quantitative analysis of label images.",-1.8345208,7.2978673
123,"NanoJ (Laine et al. 2019) is a toolbox of ImageJ plugins for super-resolution microscopy processing and analysis tasks, including drift correction and channel registration.",-1.0975871,8.835651
124,It also incorporates the widely-used SRRF method for live-cell super-resolution image reconstruction (Gustafsson et al. 2016).,-1.180326,9.039868
125,NeuronJ (Meijering et al. 2004) is an ImageJ plugin for neurite tracing and analysis.,-1.9158825,7.8216915
126,"NIS-Elements (Nikon, Tokyo, Japan) is a software for microscope control, computer-assisted image acquisition and analysis.",-1.975844,9.242413
127,"It integrates artificial intelligence solutions for de-blurring, segmentation and image restoration.",-3.0404928,6.7867746
128,Image analysis components can be combined to a workflow within a visual programming environment.,-3.0362754,6.5267324
129,Numpy (Harris et al. 2020) is a Python library and a collection of efficient array processing algorithms.,-1.600703,5.7246356
130,It is among the most used Python libraries in the world (“Python Package Index Download Statistics” 2021) and the basis for many image processing components and collections in the Python ecosystem.,-2.3091314,5.281396
131,"ParaView (Ahrens, Geveci, and Law 2005) is a software for vector and surface data analysis and visualization based on the ITK library.",-2.6176252,6.8358846
132,"Python is a programming language, potentially the most popular language in science and surely among the top used programming languages in general (“Stack Overflow Developer Survey 2020” 2020).",-2.3475053,5.167485
133,"It is commonly used to assemble various image processing, data analysis and visualization libraries in scientific workflow.",-3.4039805,6.238706
134,OrientationJ (Püspöki et al. 2016) is an ImageJ plugin to characterize the orientation and isotropy properties of regions of interest in images.,-1.9621974,6.8675113
135,Omero (Allan et al. 2012) is a research data management solution for microscopy image data.,-3.3461292,5.5973682
136,It was initially developed to facilitate analysis of large amounts of high-throughput imaging data.,-3.4822493,6.6236987
137,"Omero can be used as a remote-server storing image data that is highly interoperable with other software such as CellProfiler, Fiji and QuPath.",-3.3163593,5.4987626
138,OpenCV (Bradski 2000) is a collection of image analysis components that includes several hundred computer vision algorithms.,-2.7491434,6.718035
139,OpenCV focuses on 2D+time imaging data acquired with video cameras and has also many applications in microscopy.,-3.022376,6.907572
140,QuPath (Bankhead et al. 2017) is an image analysis software for quantitative pathology.,-2.2203496,8.718734
141,It allows visualization and analysis of large 2D slide scanner imaging data of histological slices.,-3.4299242,7.3953676
142,"Its user- friendly GUI offers tools for manual annotation, machine-learning based tissue classification and deep-learning based cell segmentation.",-3.2749999,7.0799026
143,It is extensible using Java-based plugins and scriptable using the Groovy programming language.,-3.2709453,4.6990905
144,It is interoperable with Omero and BioFormats.,-3.2763062,5.3424387
145,R (“The R Project for Statistical Computing” 2022) is a programming language for statistical computing and plotting.,-2.095446,5.581386
146,It is commonly used for the downstream statistical analysis of the output of image analysis packages.,-3.4654245,6.309571
147,R-packages also exist for image processing (Pau et al. 2010).,-3.2201183,6.4025
148,"RELION (Scheres 2012), or REgularised LIkelihood OptimisatioN, is a software package for cryo- EM structure determination processing data from single particle or tomography experiments.",-2.250651,9.633249
149,RStudio (“The R Project for Statistical Computing” n.d.) is a standalone application allowing interactive programming using the R language.,-2.1440737,5.660716
150,"Users can view existing variables, manipulate tables and plots.",-2.8441083,6.5540104
151,SciJava (“SciJava” 2022) is a collection of image analysis data structures and algorithms such as ImgLib2 and serves as the basis for ImageJ2.,-1.9569311,6.5612397
152,Scikit-image (van der Walt et al. 2014) is a general purpose collection of scientific image analysis algorithms based on numpy and scipy.,-1.7844388,6.0692563
153,Image analysis workflows using scikit-image can be written in Python and it is commonly used with jupyter notebooks.,-2.0887885,5.9842596
154,"Scikit-learn (Pedregosa et al. 2011) is a collection of Python-based algorithms for machine learning commonly used in the context of image for pixel, object and image classification.",-1.6350288,5.9111905
