,sentence,UMAP0,UMAP1
460,"Spatial Single Paszke, Adam, Sam Gross, Francisco Massa, Adam Lerer, James Bradbury, Gregory Chanan, Trevor Killeen, et al. 2019. “PyTorch:",0.90887177,6.613136
461,"An Imperative Style, High-Performance Deep Learning Library.” http://arxiv.org/abs/1912.01703.",-2.8139267,7.4644737
462,"Pau, Grégoire, Florian Fuchs, Oleg Sklyar, Michael Boutros, and Wolfgang Huber. 2010. “EBImage--an R Package for Image Processing with Applications to Cellular Phenotypes.” Bioinformatics 26 (7): 979–81.",-2.607657,8.390097
463,"Pedregosa, Fabian, Gaël Varoquaux, Alexandre Gramfort, Vincent Michel, Bertrand Thirion, Olivier Grisel, Mathieu Blondel, et al. 2011. “Scikit-Learn:",-1.5004872,5.9120016
464,Machine Learning in Python.” Journal of Machine Learning Research:,-1.5102676,5.7037773
465,JMLR 12 (85): 2825–30.,0.6447011,8.2969475
466,"Perkel, Jeffrey M. 2021. “Python Power-up:",-0.6227131,6.208029
467,New Image Tool Visualizes Complex Data.” Nature 600 (7888): 347–48.,-3.3129058,7.7691455
468,"Pielawski, Nicolas, Axel Andersson, Christophe Avenel, Andrea Behanova, Eduard Chelebian, Anna Klemm, Fredrik Nysjö, Leslie Solorzano, and Carolina Wählby. 2022. “TissUUmaps 3:",2.200292,5.8341365
469,Interactive Visualization and Quality Assessment of Large-Scale Spatial Omics Data.” https://doi.org/10.1101/2022.01.28.478131.,-3.2809021,7.806598
470,"Pietzsch, Tobias, Stephan Preibisch, Pavel Tomancák, and Stephan Saalfeld. 2012. “ImgLib2-- Generic Image Processing in Java.” Bioinformatics 28 (22): 3009–11.",-2.320435,7.9925504
471,"Pietzsch, Tobias, Stephan Saalfeld, Stephan Preibisch, and Pavel Tomancak. 2015. “BigDataViewer:",1.2818953,6.796269
472,Visualization and Processing for Large Image Data Sets.” Nature Methods 12 (6): 481–83.,-3.2518215,8.027835
473,"Pinkard, Henry, Nico Stuurman, Ivan E.",2.4079282,6.0959992
474,"Ivanov, Nicholas M.",2.6248517,7.2420363
475,"Anthony, Wei Ouyang, Bin Li, Bin Yang, et al. 2021. “Pycro-Manager:",1.0139246,6.245125
476,Open-Source Software for Customized and Reproducible Microscope Control.” Nature Methods 18 (3): 226–28.,-1.6002537,9.342809
477,"Püspöki, Zsuzsanna, Martin Storath, Daniel Sage, and Michael Unser. 2016. “Transforms and Operators for Directional Bioimage Analysis:",-2.59294,8.152055
478,"A Survey.” Advances in Anatomy, Embryology, and Cell Biology 219: 69–93. “Python Package Index Download Statistics.” 2021. 2021. https://pypistats.org/top.",-1.4618165,7.899896
479,"Ries, Jonas. 2020. “SMAP:",0.8080139,7.245745
480,A Modular Super-Resolution Microscopy Analysis Platform for SMLM Data.” Nature Methods 17 (9): 870–72.,-1.2666585,9.25248
481,"Rocklin, Matthew. 2015. “Dask:",1.5440851,7.6275935
482,Parallel Computation with Blocked Algorithms and Task in Science Conference.,-1.3193702,5.9477897
483,SciPy. the 14th Python In Proceedings of Scheduling.” https://doi.org/10.25080/majora-7b98e3ed-013.,-1.3284858,5.8617167
484,"Rubens, Ulysse, Renaud Hoyoux, Laurent Vanosmael, Mehdy Ouras, Maxime Tasset, Christopher Hamilton, Rémi Longuespée, and Raphaël Marée. 2019. “Cytomine:",2.231515,5.692224
485,Toward an Open and Collaborative Software Platform for Digital Pathology Bridged to Molecular Investigations.” Proteomics.,-3.5310717,8.746673
486,Clinical Applications 13 (1): e1800057.,-0.35343662,8.307495
487,"Rubens, Ulysse, Romain Mormont, Lassi Paavolainen, Volker Bäcker, Benjamin Pavie, Leandro A.",2.3022308,5.7642813
488,"Scholz, Gino Michiels, et al. 2020. “BIAFLOWS:",1.3555303,6.704017
489,"A Collaborative Framework to Reproducibly Deploy and Benchmark Bioimage Analysis Workflows.” Patterns (New York, N.Y.) 1 (3): 100040.",-3.6022024,8.655633
490,"Rueden, Curtis T., Jeanelle Ackerman, Ellen T.",2.9424434,7.112865
491,"Arena, Jan Eglinger, Beth A.",2.3549452,7.9884596
492,"Cimini, Allen Goodman, Anne E.",2.8479826,6.2641344
493,"Carpenter, and Kevin W.",2.7677152,8.043878
494,Eliceiri. 2019. “Scientific Community Image Forum:,-4.394279,8.141299
495,A Discussion Forum for Scientific Image Software.” PLoS Biology 17 (6): e3000340.,-4.079413,8.338876
496,"Rueden, Curtis T., Johannes Schindelin, Mark C.",2.8384314,6.9600525
497,"Hiner, Barry E.",1.8442802,7.371352
498,"DeZonia, Alison E.",1.7751106,7.782847
499,"Walter, Ellen T.",2.800846,7.3627834
500,"Arena, and Kevin W.",2.7778504,8.08175
501,Eliceiri. 2017. “ImageJ2:,-1.815609,6.780723
502,ImageJ for the next Generation of Scientific Image Data.” BMC Bioinformatics 18 (1): 529.,-3.1155167,8.53221
503,"Ryosuke Okuta, Yuya Unno, Daisuke Nishino, Shohei Hido, Crissman Loomis. 2017. “CuPy:",1.9148059,6.1423573
504,A NumPy-Compatible Library for NVIDIA GPU Calculations.” Proceedings of Workshop on Machine Learning Systems (LearningSys) in The Thirty-First Annual Conference on Neural 2017.,-1.3084142,6.4678826
505,Processing Information http://learningsys.org/nips17/assets/papers/paper_16.pdf.,-0.118666545,7.528362
506,Systems (NIPS).,0.30150867,7.7506094
507,"Saalfeld, Stephan, Albert Cardona, Volker Hartenstein, and Pavel Tomancak. 2009. “CATMAID:",1.8477613,6.625251
508,Collaborative Annotation Toolkit for Massive Amounts of Image Data.” Bioinformatics 25 (15): 1984–86.,-3.4145901,8.567694
509,"Sage, Daniel, Lauréne Donati, Ferréol Soulez, Denis Fortun, Guillaume Schmit, Arne Seitz, Romain Guiet, Cédric Vonesch, and Michael Unser. 2017. “DeconvolutionLab2:",1.3944435,5.9268885
510,An Open- Source Software for Deconvolution Microscopy.” Methods 115 (February): 28–41.,-1.5210096,9.279588
511,"Sage, Daniel, Thanh-An Pham, Hazen Babcock, Tomas Lukes, Thomas Pengo, Jerry Chao, Ramraj Velmurugan, et al. 2019. “Super-Resolution Fight Club:",1.7560784,5.939478
512,Assessment of 2D and 3D Single-Molecule Localization Microscopy Software.” Nature Methods 16 (5): 387–95.,-1.4382582,9.404581
513,"Scheres, Sjors H.",1.66876,7.0739236
514,W. 2012. “RELION:,1.7010671,7.8627353
515,Implementation of a Bayesian Approach to Cryo-EM Structure Determination.” Journal of Structural Biology 180 (3): 519–30.,-2.4533439,9.651909
516,"Schindelin, Johannes, Ignacio Arganda-Carreras, Erwin Frise, Verena Kaynig, Mark Longair, Tobias Pietzsch, Stephan Preibisch, et al. 2012. “Fiji:",2.185408,6.2338696
517,An Open-Source Platform for Biological-Image Analysis.” Nature Methods 9 (7): 676–82.,-3.3214126,8.545319
518,"Schmidt, Uwe, Martin Weigert, Coleman Broaddus, and Gene Myers. 2018. “Cell Detection with Star-Convex Polygons.” In Medical Image Computing and Computer Assisted Intervention – MICCAI 2018, 265–73.",-1.5959647,7.9240384
519,Lecture Notes in Computer Science.,-1.1594002,6.2501345
520,Cham:,1.399096,7.90209
521,Springer International Publishing.,0.061999977,8.137715
522,"Schneider, Caroline A., Wayne S.",2.8619294,7.419844
523,"Rasband, and Kevin W.",2.8142822,8.060969
524,Eliceiri. 2012. “NIH Image to ImageJ: 25 Years of Image Analysis.” Nature Methods 9 (7): 671–75. “SciJava.” 2022. 2022. https://scijava.org/.,-0.7372488,7.9212923
525,"Sofroniew, Nicholas, Talley Lambert, Kira Evans, Juan Nunez-Iglesias, Grzegorz Bokota, Gonzalo Peña-Castellanos, Philip Winston, et al. 2021.",1.8727951,6.053147
526,Napari/napari: 0.4.12rc2.,-2.4952843,5.5860586
527,Zenodo. https://doi.org/10.5281/ZENODO.3555620. “Software Tools For Molecular Microscopy.” 2006. 2006. https://en.wikibooks.org/wiki/Software_Tools_For_Molecular_Microscopy.,-1.975587,9.427865
528,"Solorzano, Leslie, Gabriele Partel, and Carolina Wählby. 2020. “TissUUmaps:",2.0188928,5.9957547
529,Interactive Visualization of Large-Scale Spatial Gene Expression and Tissue Morphology Data.” Bioinformatics 36 (15): 4363–65. “Stack Overflow Developer Survey 2020.” 2020. 2020. https://insights.stackoverflow.com/survey/2020/?utm_source=social- share&utm_medium=social&utm_campaign=dev-survey-2020. “Stack Overflow Developer Survey 2021.” 2021.,-2.1565282,7.913242
530,Stack Overflow. 2021. https://insights.stackoverflow.com/survey/2021/?utm_source=social- share&utm_medium=social&utm_campaign=dev-survey-2021.,-1.0103312,6.76276
531,"Stephan Saalfeld, Igor Pisarev, Philipp Hanslovsky, John Bogovic, Andrew Champion, Curtis Rueden, John Kirkham. 2017. “N5:",2.0062487,6.2232533
532,Not HDF5.” 2017. https://github.com/saalfeldlab/n5.,-1.215571,6.5338745
533,"Stoltzfus, Caleb R., Jakub Filipek, Benjamin H.",2.4912016,7.181939
534,"Gern, Brandy E.",2.4190614,7.767585
535,"Olin, Joseph M.",1.8847358,8.247975
536,"Leal, Yajun Wu, Miranda R.",2.6956398,6.7333994
537,"Lyons-Cohen, et al. 2020. “CytoMAP:",-0.99418867,8.343617
538,A Spatial Analysis Toolbox Reveals Features of Myeloid Cell Organization in Lymphoid Tissues.” Cell Reports 31 (3): 107523.,-3.0666893,8.820059
539,"Stringer, Carsen, Tim Wang, Michalis Michaelos, and Marius Pachitariu. 2021. “Cellpose:",2.1550798,6.0480156
540,A Generalist Algorithm for Cellular Segmentation.” Nature Methods 18 (1): 100–106.,-2.486522,8.292998
541,"Tang, Guang, Liwei Peng, Philip R.",2.4642859,7.2263308
542,"Baldwin, Deepinder S.",1.2156023,7.3288445
543,"Mann, Wen Jiang, Ian Rees, and Steven J.",2.7150855,6.443595
544,Ludtke. 2007. “EMAN2:,1.5939083,7.871085
545,An Extensible Image Processing Suite for Electron Microscopy.” Journal of Structural Biology 157 (1): 38–46.,-2.530873,9.329902
546,Tensorflow-Developers. 2021.,-1.1242166,6.5919433
547,TensorFlow.,-1.2481565,6.460282
548,Zenodo. https://doi.org/10.5281/ZENODO.4724125. “The Apache Groovy Programming Language.” 2022. 2022. https://groovy-lang.org/. “The R Project for Statistical Computing.” 2022. 2022. https://www.R-project.org/. ———. n.d.,-0.85412896,6.3342056
549,"Accessed January 23, 2022. https://www.R-project.org/.",-0.49137574,6.4817967
550,"Thévenaz, P., U.",1.4457865,8.08443
551,E.,1.6030767,7.980587
552,"Ruttimann, and M.",2.1664798,8.110269
553,Unser. 1998. “A Pyramid Approach to Subpixel Registration Based on Intensity.” IEEE Transactions on Image Processing:,-1.6635997,7.7120056
554,A Publication of the IEEE Signal Processing Society 7 (1): 27–41.,-0.8980068,6.9587684
555,"Tinevez, Jean-Yves, Nick Perry, Johannes Schindelin, Genevieve M.",2.5730863,5.9329963
556,"Hoopes, Gregory D.",2.227786,7.4969735
557,"Reynolds, Emmanuel Laplantine, Sebastian Y.",2.377429,5.655908
558,"Bednarek, Spencer L.",2.4059997,7.6593814
559,"Shorte, and Kevin W.",2.8088346,8.012737
560,Eliceiri. 2017. “TrackMate:,-1.2736874,7.493147
561,An Open and Extensible Platform for Single-Particle Tracking.” Methods 115 (February): 80–90.,-1.4147527,9.404289
562,"Tischer, Christian, Ashis Ravindran, Sabine Reither, Nicolas Chiaruttini, Rainer Pepperkok, and Nils Norlin. 2021. “BigDataProcessor2:",1.3936992,6.523375
563,"A Free and Open-Source Fiji Plugin for Inspection and Processing , February. https://doi.org/10.1093/bioinformatics/btab106.",-2.8652184,5.6439915
564,"Image Data.” Bioinformatics of TB Sized Ulman, Vladimír, Martin Maška, Klas E.",-3.023079,8.508727
565,G.,1.6100156,7.961493
566,"Magnusson, Olaf Ronneberger, Carsten Haubold, Nathalie Harder, Pavel Matula, et al. 2017. “An Objective Comparison of Cell-Tracking Algorithms.” Nature Methods 14 (12): 1141–52.",-1.6877252,8.403854
567,"Vergara, Hernando M., Constantin Pape, Kimberly I.",2.6916373,7.0594735
568,"Meechan, Valentyna Zinchenko, Christel Genoud, Adrian A.",2.6030006,6.013998
569,"Wanner, Kevin Nzumbi Mutemi, et al. 2021. “Whole-Body Integration of Gene Expression and Single-Cell Morphology.” Cell 184 (18): 4819–37.e22.",-2.1680279,8.156469
570,"Virtanen, Pauli, Ralf Gommers, Travis E.",2.1136897,6.4258466
571,"Oliphant, Matt Haberland, Tyler Reddy, David Cournapeau, Evgeni Burovski, et al. 2020. “SciPy 1.0:",-0.96038187,6.051264
572,Fundamental Algorithms for Scientific Computing in Python.” Nature Methods 17 (3): 261–72.,-1.3875194,5.841238
573,"Walt, Stéfan van der, Johannes L.",2.6127436,6.8320236
574,"Schönberger, Juan Nunez-Iglesias, François Boulogne, Joshua D.",2.0123446,6.1426735
575,"Warner, Neil Yager, Emmanuelle Gouillart, Tony Yu, and scikit-image contributors. 2014. “Scikit-Image:",-1.7202675,6.14164
576,Image Processing in Python.” PeerJ 2 (June): e453.,-1.8572693,6.207049
577,"Wei, Donglai, Zudi Lin, Daniel Franco-Barranco, Nils Wendt, Xingyu Liu, Wenjie Yin, Xin Huang, et al. 2020. “MitoEM Dataset:",-1.3006954,8.469597
578,Large-Scale 3D Mitochondria Instance Segmentation from EM Images.” Medical Image Computing and Computer-Assisted Intervention:,-2.4095469,8.257187
579,MICCAI ...,1.4445015,7.999037
580,International Conference on Medical Image Computing and Computer-Assisted Intervention 12265 (October): 66–76.,-1.5665861,7.719631
581,"Weigert, Martin, Uwe Schmidt, Tobias Boothe, Andreas Müller, Alexandr Dibrov, Akanksha Jain, Benjamin Wilhelm, et al. 2018. “Content-Aware Image Restoration:",-0.93029904,8.282238
582,Pushing the Limits of Fluorescence Microscopy.” Nature Methods 15 (12): 1090–97.,-1.2426153,9.205046
583,"Weigert, Martin, Uwe Schmidt, Robert Haase, Ko Sugawara, and Gene Myers. 2020. “Star- Convex Polyhedra for 3D Object Detection and Segmentation in Microscopy.” In 2020 IEEE Winter Conference IEEE. https://doi.org/10.1109/wacv45572.2020.9093435. of Computer Vision on Applications (WACV).",-1.3498937,8.038615
584,"Witten, Ian H., Eibe Frank, Mark A.",2.588454,7.0179877
585,"Hall, and Christopher J.",2.5981762,8.066282
586,Pal. 2016.,1.0184311,8.110515
587,Data Mining:,-1.5371692,5.5122414
588,Practical Machine Learning Tools and Techniques.,-1.5428067,5.5506935
589,Morgan Kaufmann.,2.1372898,6.582097
590,"Yoo, Terry S., Michael J.",2.435626,7.3163714
591,"Ackerman, William E.",2.3924406,7.4594584
592,"Lorensen, Will Schroeder, Vikram Chalana, Stephen Aylward, Dimitris Metaxas, and Ross Whitaker. 2002. “Engineering and Algorithm Design for an Image Processing Api:",-1.4303187,7.1543036
593,A Technical Report on ITK--the Insight Toolkit.” Studies in Health Technology and Informatics 85: 586–92.,-2.382421,6.5797215
594,"Yushkevich, Paul A., Joseph Piven, Heather Cody Hazlett, Rachel Gimpel Smith, Sean Ho, James C.",2.2397392,5.9342513
595,"Gee, and Guido Gerig. 2006. “User-Guided 3D Active Contour Segmentation of Anatomical Structures:",-1.7259225,8.101804
596,Significantly Improved Efficiency and Reliability.” NeuroImage 31 (3): 1116–28.,-1.8782041,8.065697
